Time,long,lat,altit,press
219.353877314815,11.23274114,48.04471444,1333.34,874.52
219.354571759259,11.17254369,48.00063594,1997.81,809.05
219.355266203704,11.09085876,47.96857574,2614.62,751.9
219.355960648148,10.99593814,47.93567066,3264.63,695.29
219.356655092593,10.88067538,47.91363732,3901.16,642.9
219.357349537037,10.75495043,47.90316812,4532.18,594.1
219.358043981481,10.62298443,47.88476687,5172.9,547.75
219.358738425926,10.48326397,47.86343205,5812.57,504.45
219.35943287037,10.33948899,47.84292826,6449.31,464.36
219.360127314815,10.19386269,47.81590653,7091.03,426.57
219.360821759259,10.04511833,47.78761808,7729.07,391.44
219.361516203704,9.89347052,47.75901081,8367.34,358.75
219.362210648148,9.74151441,47.72866157,9004,328.2
219.362905092593,9.59502927,47.68737741,9553.59,303.38
219.363599537037,9.44539703,47.64624065,10027.59,283.12
219.364293981481,9.29334937,47.60410269,10440.81,266.35
219.364988425926,9.13725118,47.56042609,10545.88,262.24
219.36568287037,8.97754783,47.51592339,10797.92,252.54
219.366377314815,8.81583893,47.47169003,10902.69,248.51
219.367071759259,8.65230913,47.4314421,11175.29,238.43
219.367766203704,8.48496666,47.39048301,11539.25,225.44
219.368460648148,8.31812891,47.34941107,11905.41,212.91
219.369155092593,8.1525741,47.30804961,12239.72,201.98
219.369849537037,7.98610457,47.26651097,12407.92,196.66
219.370543981481,7.81489879,47.22307076,12464.12,194.97
219.371238425926,7.64260234,47.17921771,12712.5,187.53
219.37193287037,7.47533149,47.12919277,12954.57,180.59
219.372627314815,7.32585654,47.0567151,13026.11,178.63
219.373321759259,7.1757327,46.98226904,13026.74,178.64
219.374016203704,7.02629526,46.90712441,13026.97,178.63
219.374710648148,6.87656571,46.83156116,13025.71,178.71
219.375405092593,6.72848158,46.75696157,13029.39,178.62
219.376099537037,6.58079013,46.68148779,13028.4,178.66
219.376793981481,6.43339632,46.60595819,13028.2,178.69
219.377488425926,6.28752579,46.53118711,13031.56,178.6
219.37818287037,6.14082486,46.45539871,13030.66,178.63
219.378877314815,5.99346233,46.378704,13028.69,178.69
219.379571759259,5.84753896,46.30270018,13032.85,178.61
219.380266203704,5.7023382,46.22630453,13032.76,178.63
219.380960648148,5.5540113,46.15171206,13031.33,178.67
219.381655092593,5.40372137,46.07975367,13035.05,178.59
219.382349537037,5.25489784,46.00785775,13033.75,178.61
219.383043981481,5.1071618,45.93576973,13037.64,178.58
219.383738425926,4.95910463,45.86350458,13036.72,178.67
219.38443287037,4.81166918,45.79075875,13036.87,178.68
